Table S44. Genes for biosurfactant and lipase production in S. marcescens SMTT,,,,
,,,,
ID,Name,Definition,Gene count,COG
KO:K01029,scoB,3-oxoacid CoA-transferase subunit B,1,
KO:K01028,scoA,3-oxoacid CoA-transferase subunit A,1,
KO:K00019,bdh,3-hydroxybutyrate dehydrogenase,1,
ABC phospholipid,,,,
KO:K04754,"mlaA, vacJ",phospholipid-binding lipoprotein MlaA,1,
KO:K07122,mlaB,phospholipid transport system transporter-binding protein,1,
KO:K07323,mlaC,phospholipid transport system substrate-binding protein,1,
KO:K02067,"mlaD, linM",phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein,1,
KO:K02066,"mlaE, linK",phospholipid/cholesterol/gamma-HCH transport system permease protein,1,
KO:K02065,"mlaF, linL, mkl",phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein,1,
Bacteriocin (4),,,,
COG2274/KO:K06147,,"ATP-binding cassette subfamily B protein; ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain",1,
COG2274/KO:K13409,,"ATP-binding cassette subfamily B protein RaxB; ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain",3,
Microcin,,,,
KO:K13895/COG4239,yejE,microcin C transport system permease protein,1,
KO:K13893/COG4166,yejA,microcin C transport system substrate-binding protein,1,
KO:K13896/COG4172,yejF,microcin C transport system ATP-binding protein,1,
KO:K13894/COG4174,yejB,microcin C transport system permease protein,1,
KO:K06159/COG4615,yojI,multidrug/microcin transport system ATP-binding/permease protein,1,
