Table S38. Gene clusters for aromatic degradation in S. marcescens SMTT,,,
,,,
Function name,COG ID,KO ID,KEGG pathways
nicD N-formylmaleamate deformylase,COG0596,KO:K18028,"Microbial metabolism in diverse environments, Nicotinate and nicotinamide metabolism"
"nicE, maiA maleate isomerase",COG3473,KO:K01799,"Butanoate metabolism, Microbial metabolism in diverse environments, Nicotinate and nicotinamide metabolism"
nicF maleamate amidohydrolase,COG1335,KO:K13995,"Microbial metabolism in diverse environments, Nicotinate and nicotinamide metabolism"
Other genes in clusters,,,
bdh 3-hydroxybutyrate dehydrogenase,COG1028,KO:K00019,"Butanoate metabolism, Synthesis and degradation of ketone bodies"
atoB acetyl-CoA C-acetyltransferase,COG0183,KO:K00626,"Benzoate degradation, Biosynthesis of secondary metabolites, Butanoate metabolism, Carbon fixation pathways in prokaryotes, Carbon metabolism, Fat digestion and absorption, Fatty acid degradation, Fatty acid metabolism, Glyoxylate and dicarboxylate metabolism, Lysine degradation, Microbial metabolism in diverse environments, Propanoate metabolism, Pyruvate metabolism, Synthesis and degradation of ketone bodies, Terpenoid backbone biosynthesis, Tryptophan metabolism, Two-component system, Valine, leucine and isoleucine degradation"
scoB 3-oxoacid CoA-transferase subunit B,COG2057,KO:K01029,"Butanoate metabolism, Synthesis and degradation of ketone bodies, Valine, leucine and isoleucine degradation"
scoA 3-oxoacid CoA-transferase subunit A,COG1788,KO:K01028,"Butanoate metabolism, Synthesis and degradation of ketone bodies, Valine, leucine and isoleucine degradation"
,,,
,,,
Table S39. Oxygenase genes for aromatic compound degradation in S. marcescens SMTT,,,
,,,
ID,Name,Definition,Gene count
Monooxygenases,,,
KO:K22443,cntA,carnitine monooxygenase subunit [EC:1.14.13.239],1
KO:K22444,cntB,carnitine monooxygenase subunit [EC:1.14.13.239],1
KO:K02508,hpaA,"AraC family transcriptional regulator, 4-hydroxyphenylacetate 3-monooxygenase operon regulatory protein",1
KO:K00483,hpaB,4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9],1
KO:K20938,ladA,long-chain alkane monooxygenase [EC:1.14.14.28],1
KO:K00459,"ncd2, npd",nitronate monooxygenase [EC:1.13.12.16],1
KO:K14974,nicC,6-hydroxynicotinate 3-monooxygenase [EC:1.14.13.114],1
KO:K00481,pobA,p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2],1
KO:K17228,sfnG,dimethylsulfone monooxygenase [EC:1.14.14.35],1
